ndim,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
1,0.892561983471,0.909090909091,0.900826446281,0.909090909091,0.925619834711,0.917355371901,0.884297520661,0.909090909091,0.933884297521,0.909090909091,0.909090909091,0.97520661157,0.925619834711,0.933884297521,0.908333333333,0.925,0.941666666667,0.966666666667,0.925,0.875
2,0.743801652893,0.727272727273,0.776859504132,0.768595041322,0.801652892562,0.776859504132,0.818181818182,0.776859504132,0.801652892562,0.743801652893,0.776859504132,0.776859504132,0.776859504132,0.834710743802,0.825,0.758333333333,0.791666666667,0.725,0.758333333333,0.783333333333
3,0.586776859504,0.611570247934,0.603305785124,0.628099173554,0.545454545455,0.636363636364,0.603305785124,0.619834710744,0.611570247934,0.512396694215,0.628099173554,0.644628099174,0.644628099174,0.578512396694,0.583333333333,0.641666666667,0.6,0.6,0.525,0.608333333333
4,0.454545454545,0.446280991736,0.479338842975,0.396694214876,0.380165289256,0.404958677686,0.471074380165,0.446280991736,0.512396694215,0.371900826446,0.454545454545,0.504132231405,0.479338842975,0.388429752066,0.383333333333,0.441666666667,0.5,0.391666666667,0.375,0.35
5,0.396694214876,0.388429752066,0.413223140496,0.338842975207,0.330578512397,0.322314049587,0.363636363636,0.371900826446,0.338842975207,0.330578512397,0.347107438017,0.338842975207,0.404958677686,0.264462809917,0.266666666667,0.333333333333,0.325,0.366666666667,0.3,0.308333333333
6,0.264462809917,0.322314049587,0.322314049587,0.239669421488,0.239669421488,0.305785123967,0.289256198347,0.289256198347,0.305785123967,0.272727272727,0.256198347107,0.239669421488,0.347107438017,0.256198347107,0.258333333333,0.2,0.216666666667,0.316666666667,0.275,0.225
7,0.256198347107,0.223140495868,0.247933884298,0.173553719008,0.223140495868,0.214876033058,0.231404958678,0.223140495868,0.206611570248,0.214876033058,0.239669421488,0.198347107438,0.256198347107,0.198347107438,0.175,0.2,0.183333333333,0.258333333333,0.2,0.183333333333
8,0.256198347107,0.206611570248,0.214876033058,0.148760330579,0.206611570248,0.239669421488,0.148760330579,0.190082644628,0.173553719008,0.173553719008,0.198347107438,0.157024793388,0.280991735537,0.148760330579,0.166666666667,0.191666666667,0.175,0.216666666667,0.175,0.183333333333
9,0.206611570248,0.165289256198,0.173553719008,0.148760330579,0.148760330579,0.173553719008,0.148760330579,0.181818181818,0.132231404959,0.132231404959,0.148760330579,0.140495867769,0.190082644628,0.123966942149,0.141666666667,0.183333333333,0.125,0.141666666667,0.133333333333,0.133333333333
10,0.165289256198,0.173553719008,0.206611570248,0.123966942149,0.123966942149,0.157024793388,0.157024793388,0.165289256198,0.115702479339,0.123966942149,0.123966942149,0.132231404959,0.165289256198,0.115702479339,0.133333333333,0.158333333333,0.0916666666667,0.141666666667,0.108333333333,0.15
11,0.140495867769,0.132231404959,0.190082644628,0.0909090909091,0.099173553719,0.157024793388,0.165289256198,0.173553719008,0.0909090909091,0.099173553719,0.107438016529,0.140495867769,0.140495867769,0.0826446280992,0.108333333333,0.158333333333,0.0916666666667,0.141666666667,0.0916666666667,0.166666666667
12,0.107438016529,0.115702479339,0.173553719008,0.0909090909091,0.0909090909091,0.157024793388,0.140495867769,0.157024793388,0.0909090909091,0.107438016529,0.115702479339,0.123966942149,0.132231404959,0.099173553719,0.125,0.141666666667,0.0916666666667,0.141666666667,0.0833333333333,0.108333333333
13,0.107438016529,0.123966942149,0.165289256198,0.107438016529,0.0909090909091,0.157024793388,0.099173553719,0.115702479339,0.107438016529,0.099173553719,0.115702479339,0.099173553719,0.099173553719,0.099173553719,0.116666666667,0.133333333333,0.0833333333333,0.133333333333,0.075,0.108333333333
14,0.099173553719,0.107438016529,0.132231404959,0.107438016529,0.0909090909091,0.132231404959,0.0909090909091,0.123966942149,0.099173553719,0.0826446280992,0.107438016529,0.107438016529,0.107438016529,0.0826446280992,0.133333333333,0.116666666667,0.0833333333333,0.116666666667,0.075,0.125
15,0.099173553719,0.0826446280992,0.148760330579,0.107438016529,0.0826446280992,0.107438016529,0.0909090909091,0.099173553719,0.107438016529,0.0826446280992,0.0826446280992,0.0909090909091,0.0909090909091,0.0661157024793,0.125,0.125,0.0916666666667,0.1,0.075,0.116666666667
16,0.099173553719,0.0826446280992,0.115702479339,0.099173553719,0.0743801652893,0.107438016529,0.0909090909091,0.099173553719,0.099173553719,0.0909090909091,0.0743801652893,0.0909090909091,0.0826446280992,0.0578512396694,0.108333333333,0.0833333333333,0.075,0.108333333333,0.0666666666667,0.108333333333
17,0.099173553719,0.0909090909091,0.115702479339,0.0909090909091,0.0743801652893,0.099173553719,0.0909090909091,0.0909090909091,0.0909090909091,0.0909090909091,0.0743801652893,0.0826446280992,0.0826446280992,0.0661157024793,0.108333333333,0.0916666666667,0.0666666666667,0.108333333333,0.0666666666667,0.1
18,0.099173553719,0.0826446280992,0.115702479339,0.0826446280992,0.0909090909091,0.099173553719,0.099173553719,0.0909090909091,0.0826446280992,0.0743801652893,0.0661157024793,0.0909090909091,0.0743801652893,0.0826446280992,0.1,0.0833333333333,0.0666666666667,0.1,0.0666666666667,0.108333333333
19,0.107438016529,0.0826446280992,0.107438016529,0.0661157024793,0.0743801652893,0.0909090909091,0.099173553719,0.0909090909091,0.0743801652893,0.0661157024793,0.0578512396694,0.0743801652893,0.0661157024793,0.0578512396694,0.0833333333333,0.0916666666667,0.0583333333333,0.108333333333,0.05,0.075
20,0.099173553719,0.0743801652893,0.107438016529,0.0661157024793,0.0909090909091,0.0909090909091,0.0909090909091,0.099173553719,0.0661157024793,0.0661157024793,0.0495867768595,0.0826446280992,0.0826446280992,0.0578512396694,0.0833333333333,0.0833333333333,0.0666666666667,0.1,0.05,0.075
21,0.107438016529,0.0743801652893,0.099173553719,0.0578512396694,0.099173553719,0.0826446280992,0.099173553719,0.0909090909091,0.0661157024793,0.0661157024793,0.0578512396694,0.0826446280992,0.0826446280992,0.0578512396694,0.075,0.0833333333333,0.0583333333333,0.0833333333333,0.0583333333333,0.0666666666667
22,0.099173553719,0.0661157024793,0.099173553719,0.0661157024793,0.0826446280992,0.0909090909091,0.0909090909091,0.099173553719,0.0661157024793,0.0661157024793,0.0661157024793,0.0826446280992,0.0743801652893,0.0578512396694,0.0916666666667,0.1,0.05,0.075,0.0666666666667,0.0666666666667
23,0.099173553719,0.0661157024793,0.099173553719,0.0661157024793,0.0909090909091,0.0909090909091,0.0909090909091,0.0826446280992,0.0578512396694,0.0578512396694,0.0661157024793,0.0661157024793,0.0826446280992,0.0495867768595,0.075,0.1,0.05,0.075,0.05,0.0583333333333
24,0.107438016529,0.0661157024793,0.0909090909091,0.0661157024793,0.0743801652893,0.099173553719,0.0826446280992,0.0661157024793,0.0578512396694,0.0578512396694,0.0578512396694,0.0661157024793,0.0826446280992,0.0413223140496,0.0833333333333,0.1,0.0416666666667,0.0833333333333,0.0416666666667,0.0583333333333
25,0.099173553719,0.0661157024793,0.0909090909091,0.0661157024793,0.0661157024793,0.099173553719,0.0661157024793,0.0661157024793,0.0578512396694,0.0578512396694,0.0578512396694,0.0743801652893,0.0661157024793,0.0330578512397,0.0833333333333,0.0833333333333,0.0416666666667,0.0833333333333,0.0416666666667,0.05
26,0.099173553719,0.0661157024793,0.0909090909091,0.0578512396694,0.0661157024793,0.0909090909091,0.0661157024793,0.0661157024793,0.0578512396694,0.0661157024793,0.0661157024793,0.0826446280992,0.0743801652893,0.0413223140496,0.0833333333333,0.0916666666667,0.0333333333333,0.0916666666667,0.0583333333333,0.05
27,0.0826446280992,0.0743801652893,0.0909090909091,0.0578512396694,0.0661157024793,0.0909090909091,0.0661157024793,0.0578512396694,0.0495867768595,0.0578512396694,0.0661157024793,0.0826446280992,0.0826446280992,0.0330578512397,0.0833333333333,0.0916666666667,0.0333333333333,0.0916666666667,0.05,0.0416666666667
28,0.0826446280992,0.0743801652893,0.0743801652893,0.0495867768595,0.0743801652893,0.0826446280992,0.0661157024793,0.0495867768595,0.0413223140496,0.0661157024793,0.0661157024793,0.0909090909091,0.0743801652893,0.0413223140496,0.0916666666667,0.0916666666667,0.025,0.0916666666667,0.0583333333333,0.0416666666667
29,0.0826446280992,0.0826446280992,0.0661157024793,0.0495867768595,0.0661157024793,0.0826446280992,0.0578512396694,0.0495867768595,0.0495867768595,0.0495867768595,0.0578512396694,0.099173553719,0.0661157024793,0.0495867768595,0.0833333333333,0.0916666666667,0.025,0.0916666666667,0.0583333333333,0.0416666666667
30,0.0826446280992,0.0743801652893,0.0661157024793,0.0413223140496,0.0743801652893,0.0743801652893,0.0578512396694,0.0495867768595,0.0495867768595,0.0495867768595,0.0661157024793,0.0909090909091,0.0661157024793,0.0330578512397,0.0833333333333,0.1,0.025,0.0916666666667,0.0583333333333,0.0416666666667
31,0.0909090909091,0.0743801652893,0.0661157024793,0.0413223140496,0.0661157024793,0.0743801652893,0.0578512396694,0.0743801652893,0.0495867768595,0.0495867768595,0.0661157024793,0.0909090909091,0.0661157024793,0.0247933884298,0.0833333333333,0.1,0.025,0.1,0.0583333333333,0.05
32,0.0909090909091,0.0743801652893,0.0661157024793,0.0413223140496,0.0661157024793,0.0909090909091,0.0661157024793,0.0743801652893,0.0661157024793,0.0495867768595,0.0578512396694,0.0909090909091,0.0578512396694,0.0247933884298,0.0833333333333,0.0916666666667,0.025,0.0916666666667,0.0583333333333,0.05
33,0.0909090909091,0.0743801652893,0.0578512396694,0.0495867768595,0.0661157024793,0.0909090909091,0.0661157024793,0.0661157024793,0.0743801652893,0.0495867768595,0.0578512396694,0.0909090909091,0.0578512396694,0.0247933884298,0.0833333333333,0.0833333333333,0.025,0.0916666666667,0.0583333333333,0.05
34,0.0909090909091,0.0826446280992,0.0578512396694,0.0495867768595,0.0661157024793,0.0826446280992,0.0661157024793,0.0826446280992,0.0661157024793,0.0495867768595,0.0578512396694,0.099173553719,0.0661157024793,0.0247933884298,0.0916666666667,0.0833333333333,0.025,0.0916666666667,0.0583333333333,0.0583333333333
35,0.0826446280992,0.0826446280992,0.0661157024793,0.0495867768595,0.0661157024793,0.0826446280992,0.0661157024793,0.0743801652893,0.0661157024793,0.0578512396694,0.0578512396694,0.0909090909091,0.0661157024793,0.0330578512397,0.0833333333333,0.0833333333333,0.025,0.0916666666667,0.05,0.05
36,0.0826446280992,0.0909090909091,0.0661157024793,0.0495867768595,0.0661157024793,0.0826446280992,0.0661157024793,0.0826446280992,0.0495867768595,0.0578512396694,0.0578512396694,0.0909090909091,0.0578512396694,0.0413223140496,0.075,0.0833333333333,0.025,0.0916666666667,0.05,0.0583333333333
37,0.0826446280992,0.0909090909091,0.0578512396694,0.0495867768595,0.0661157024793,0.0826446280992,0.0578512396694,0.0826446280992,0.0495867768595,0.0578512396694,0.0578512396694,0.0909090909091,0.0578512396694,0.0495867768595,0.0833333333333,0.075,0.025,0.0916666666667,0.05,0.0583333333333
38,0.0826446280992,0.099173553719,0.0578512396694,0.0495867768595,0.0743801652893,0.0826446280992,0.0578512396694,0.0826446280992,0.0495867768595,0.0578512396694,0.0578512396694,0.0909090909091,0.0578512396694,0.0495867768595,0.0833333333333,0.075,0.025,0.0916666666667,0.05,0.0583333333333
