ndim,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
1,0.818181818182,0.842975206612,0.933884297521,0.834710743802,0.876033057851,0.876033057851,0.834710743802,0.925619834711,0.867768595041,0.851239669421,0.694214876033,0.859504132231,0.909090909091,0.793388429752,0.908333333333,0.816666666667,0.883333333333,0.833333333333,0.85,0.858333333333
2,0.702479338843,0.628099173554,0.685950413223,0.677685950413,0.652892561983,0.752066115702,0.661157024793,0.694214876033,0.644628099174,0.628099173554,0.578512396694,0.652892561983,0.661157024793,0.694214876033,0.658333333333,0.641666666667,0.616666666667,0.666666666667,0.666666666667,0.691666666667
3,0.537190082645,0.421487603306,0.561983471074,0.504132231405,0.504132231405,0.652892561983,0.504132231405,0.545454545455,0.528925619835,0.479338842975,0.388429752066,0.537190082645,0.545454545455,0.471074380165,0.5,0.491666666667,0.425,0.466666666667,0.483333333333,0.541666666667
4,0.388429752066,0.338842975207,0.429752066116,0.330578512397,0.371900826446,0.429752066116,0.380165289256,0.355371900826,0.413223140496,0.371900826446,0.322314049587,0.388429752066,0.471074380165,0.363636363636,0.358333333333,0.425,0.341666666667,0.425,0.375,0.458333333333
5,0.322314049587,0.272727272727,0.388429752066,0.280991735537,0.272727272727,0.338842975207,0.330578512397,0.305785123967,0.338842975207,0.305785123967,0.305785123967,0.239669421488,0.388429752066,0.289256198347,0.375,0.4,0.283333333333,0.416666666667,0.3,0.433333333333
6,0.256198347107,0.223140495868,0.314049586777,0.272727272727,0.256198347107,0.264462809917,0.239669421488,0.289256198347,0.264462809917,0.297520661157,0.214876033058,0.231404958678,0.256198347107,0.256198347107,0.325,0.283333333333,0.283333333333,0.358333333333,0.241666666667,0.375
7,0.206611570248,0.181818181818,0.297520661157,0.198347107438,0.206611570248,0.214876033058,0.181818181818,0.239669421488,0.239669421488,0.239669421488,0.181818181818,0.214876033058,0.247933884298,0.231404958678,0.266666666667,0.283333333333,0.258333333333,0.258333333333,0.191666666667,0.316666666667
8,0.198347107438,0.181818181818,0.289256198347,0.148760330579,0.198347107438,0.165289256198,0.157024793388,0.206611570248,0.239669421488,0.190082644628,0.115702479339,0.173553719008,0.198347107438,0.206611570248,0.2,0.225,0.15,0.2,0.175,0.266666666667
9,0.132231404959,0.173553719008,0.223140495868,0.132231404959,0.198347107438,0.140495867769,0.123966942149,0.173553719008,0.148760330579,0.157024793388,0.099173553719,0.165289256198,0.165289256198,0.173553719008,0.141666666667,0.208333333333,0.133333333333,0.158333333333,0.15,0.225
10,0.107438016529,0.157024793388,0.206611570248,0.123966942149,0.190082644628,0.107438016529,0.140495867769,0.157024793388,0.140495867769,0.140495867769,0.0909090909091,0.140495867769,0.157024793388,0.157024793388,0.158333333333,0.216666666667,0.141666666667,0.166666666667,0.125,0.2
11,0.0826446280992,0.140495867769,0.198347107438,0.123966942149,0.157024793388,0.0909090909091,0.115702479339,0.148760330579,0.115702479339,0.148760330579,0.0826446280992,0.132231404959,0.132231404959,0.165289256198,0.133333333333,0.183333333333,0.166666666667,0.166666666667,0.1,0.183333333333
12,0.0743801652893,0.132231404959,0.181818181818,0.107438016529,0.140495867769,0.0661157024793,0.0743801652893,0.107438016529,0.115702479339,0.132231404959,0.0743801652893,0.107438016529,0.123966942149,0.132231404959,0.116666666667,0.183333333333,0.133333333333,0.15,0.0916666666667,0.15
13,0.0661157024793,0.132231404959,0.157024793388,0.0909090909091,0.148760330579,0.0743801652893,0.0661157024793,0.0909090909091,0.099173553719,0.099173553719,0.0661157024793,0.0661157024793,0.115702479339,0.099173553719,0.108333333333,0.183333333333,0.116666666667,0.116666666667,0.075,0.141666666667
