ndim,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
1,0.97520661157,0.925619834711,0.97520661157,0.942148760331,0.95041322314,0.942148760331,0.95041322314,0.933884297521,0.917355371901,0.99173553719,0.99173553719,0.95867768595,0.942148760331,0.96694214876,0.95,0.958333333333,0.975,0.975,0.941666666667,0.925
2,0.99173553719,1.0,0.96694214876,0.98347107438,0.98347107438,0.97520661157,0.95867768595,0.97520661157,0.97520661157,0.99173553719,0.97520661157,1.0,0.95867768595,0.98347107438,0.983333333333,0.983333333333,0.983333333333,0.991666666667,0.975,0.975
3,0.99173553719,1.0,0.99173553719,0.99173553719,0.99173553719,1.0,0.98347107438,0.99173553719,0.95867768595,0.99173553719,0.98347107438,0.99173553719,0.95867768595,0.99173553719,1.0,0.983333333333,0.991666666667,0.991666666667,0.983333333333,0.975
4,0.96694214876,0.99173553719,0.95867768595,0.96694214876,0.98347107438,0.97520661157,0.97520661157,0.95041322314,0.95867768595,0.96694214876,0.95867768595,0.98347107438,0.933884297521,0.96694214876,0.983333333333,0.975,0.983333333333,0.983333333333,0.958333333333,0.958333333333
5,0.942148760331,0.925619834711,0.892561983471,0.917355371901,0.917355371901,0.917355371901,0.933884297521,0.900826446281,0.933884297521,0.909090909091,0.876033057851,0.96694214876,0.925619834711,0.933884297521,0.916666666667,0.933333333333,0.95,0.95,0.925,0.9
6,0.900826446281,0.851239669421,0.834710743802,0.851239669421,0.826446280992,0.851239669421,0.851239669421,0.867768595041,0.851239669421,0.851239669421,0.859504132231,0.909090909091,0.867768595041,0.884297520661,0.833333333333,0.833333333333,0.883333333333,0.908333333333,0.866666666667,0.841666666667
7,0.876033057851,0.809917355372,0.809917355372,0.818181818182,0.809917355372,0.834710743802,0.842975206612,0.851239669421,0.818181818182,0.793388429752,0.818181818182,0.809917355372,0.859504132231,0.876033057851,0.791666666667,0.775,0.858333333333,0.858333333333,0.8,0.791666666667
8,0.834710743802,0.776859504132,0.735537190083,0.743801652893,0.735537190083,0.785123966942,0.793388429752,0.801652892562,0.785123966942,0.768595041322,0.743801652893,0.793388429752,0.809917355372,0.818181818182,0.758333333333,0.7,0.841666666667,0.825,0.75,0.758333333333
9,0.809917355372,0.768595041322,0.735537190083,0.710743801653,0.719008264463,0.743801652893,0.735537190083,0.735537190083,0.768595041322,0.735537190083,0.727272727273,0.752066115702,0.793388429752,0.793388429752,0.75,0.683333333333,0.8,0.8,0.683333333333,0.683333333333
10,0.793388429752,0.743801652893,0.694214876033,0.702479338843,0.685950413223,0.735537190083,0.694214876033,0.719008264463,0.752066115702,0.685950413223,0.710743801653,0.694214876033,0.752066115702,0.760330578512,0.708333333333,0.675,0.725,0.791666666667,0.658333333333,0.65
11,0.768595041322,0.710743801653,0.644628099174,0.694214876033,0.669421487603,0.719008264463,0.669421487603,0.694214876033,0.743801652893,0.669421487603,0.694214876033,0.669421487603,0.719008264463,0.743801652893,0.7,0.666666666667,0.7,0.775,0.633333333333,0.641666666667
12,0.719008264463,0.685950413223,0.636363636364,0.661157024793,0.661157024793,0.719008264463,0.636363636364,0.652892561983,0.702479338843,0.636363636364,0.661157024793,0.644628099174,0.685950413223,0.719008264463,0.666666666667,0.641666666667,0.683333333333,0.758333333333,0.591666666667,0.616666666667
13,0.702479338843,0.669421487603,0.603305785124,0.611570247934,0.661157024793,0.702479338843,0.619834710744,0.636363636364,0.677685950413,0.619834710744,0.619834710744,0.644628099174,0.669421487603,0.727272727273,0.641666666667,0.633333333333,0.608333333333,0.7,0.558333333333,0.608333333333
