ndim,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
1,0.97520661157,0.97520661157,0.98347107438,0.96694214876,0.97520661157,0.96694214876,0.942148760331,0.97520661157,0.95041322314,0.97520661157,0.95867768595,0.97520661157,0.95867768595,0.97520661157,0.95,0.966666666667,0.975,0.975,0.958333333333,0.958333333333
2,1.0,0.97520661157,0.95041322314,0.99173553719,0.96694214876,0.98347107438,0.96694214876,0.96694214876,0.98347107438,0.96694214876,0.95867768595,0.98347107438,0.98347107438,0.99173553719,0.991666666667,0.958333333333,0.958333333333,0.983333333333,0.991666666667,0.991666666667
3,1.0,1.0,1.0,1.0,0.98347107438,1.0,1.0,1.0,0.99173553719,1.0,1.0,1.0,0.96694214876,1.0,1.0,1.0,0.991666666667,1.0,1.0,1.0
4,0.99173553719,1.0,0.97520661157,0.99173553719,0.99173553719,1.0,0.99173553719,1.0,0.97520661157,0.99173553719,1.0,1.0,0.97520661157,0.99173553719,1.0,0.983333333333,0.975,0.991666666667,0.991666666667,1.0
5,0.98347107438,1.0,0.96694214876,0.99173553719,0.98347107438,0.98347107438,0.98347107438,0.96694214876,0.99173553719,0.97520661157,0.99173553719,0.99173553719,0.97520661157,0.96694214876,0.991666666667,0.975,0.95,0.991666666667,0.983333333333,0.983333333333
6,0.98347107438,1.0,0.95867768595,0.97520661157,0.96694214876,0.95867768595,0.95867768595,0.95041322314,0.98347107438,0.95867768595,0.97520661157,0.98347107438,0.95867768595,0.95041322314,0.975,0.958333333333,0.933333333333,0.983333333333,0.966666666667,0.966666666667
7,0.97520661157,0.99173553719,0.95041322314,0.97520661157,0.95041322314,0.95867768595,0.96694214876,0.925619834711,0.97520661157,0.925619834711,0.933884297521,0.95867768595,0.933884297521,0.933884297521,0.966666666667,0.941666666667,0.95,0.975,0.966666666667,0.966666666667
8,0.925619834711,0.95041322314,0.909090909091,0.933884297521,0.909090909091,0.95867768595,0.933884297521,0.909090909091,0.942148760331,0.884297520661,0.909090909091,0.917355371901,0.933884297521,0.909090909091,0.95,0.891666666667,0.908333333333,0.941666666667,0.9,0.891666666667
9,0.900826446281,0.925619834711,0.842975206612,0.884297520661,0.826446280992,0.859504132231,0.876033057851,0.867768595041,0.876033057851,0.859504132231,0.867768595041,0.859504132231,0.909090909091,0.876033057851,0.9,0.808333333333,0.866666666667,0.925,0.825,0.816666666667
10,0.842975206612,0.892561983471,0.760330578512,0.801652892562,0.768595041322,0.785123966942,0.842975206612,0.801652892562,0.801652892562,0.826446280992,0.826446280992,0.851239669421,0.900826446281,0.867768595041,0.841666666667,0.783333333333,0.866666666667,0.908333333333,0.808333333333,0.783333333333
11,0.793388429752,0.851239669421,0.694214876033,0.743801652893,0.677685950413,0.752066115702,0.768595041322,0.752066115702,0.727272727273,0.752066115702,0.776859504132,0.776859504132,0.834710743802,0.768595041322,0.775,0.675,0.775,0.825,0.75,0.725
12,0.768595041322,0.818181818182,0.644628099174,0.710743801653,0.677685950413,0.727272727273,0.727272727273,0.727272727273,0.719008264463,0.735537190083,0.735537190083,0.719008264463,0.776859504132,0.768595041322,0.758333333333,0.641666666667,0.716666666667,0.791666666667,0.733333333333,0.658333333333
13,0.760330578512,0.768595041322,0.619834710744,0.677685950413,0.644628099174,0.685950413223,0.727272727273,0.710743801653,0.702479338843,0.677685950413,0.710743801653,0.694214876033,0.768595041322,0.719008264463,0.733333333333,0.625,0.666666666667,0.775,0.716666666667,0.633333333333
