ndim,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20
1,0.97520661157,0.99173553719,0.942148760331,0.97520661157,0.97520661157,0.96694214876,0.99173553719,0.942148760331,0.942148760331,0.99173553719,0.97520661157,0.98347107438,0.95041322314,0.96694214876,0.975,0.975,0.966666666667,0.966666666667,0.958333333333,0.933333333333
2,0.97520661157,0.98347107438,0.96694214876,0.99173553719,0.98347107438,0.99173553719,0.95867768595,0.95867768595,0.98347107438,0.95867768595,0.95041322314,0.96694214876,0.98347107438,0.97520661157,0.966666666667,0.983333333333,0.966666666667,1.0,0.941666666667,0.958333333333
3,0.99173553719,1.0,0.99173553719,1.0,0.98347107438,1.0,0.99173553719,0.98347107438,0.95867768595,0.99173553719,0.99173553719,0.99173553719,0.96694214876,0.99173553719,1.0,0.991666666667,0.983333333333,0.991666666667,0.975,0.983333333333
4,0.97520661157,1.0,0.96694214876,0.99173553719,0.97520661157,0.99173553719,0.96694214876,0.95867768595,0.95867768595,0.96694214876,0.97520661157,0.99173553719,0.925619834711,0.99173553719,0.991666666667,0.958333333333,0.966666666667,0.983333333333,0.958333333333,0.966666666667
5,0.95041322314,1.0,0.95041322314,0.98347107438,0.97520661157,0.98347107438,0.95867768595,0.933884297521,0.95041322314,0.95041322314,0.95041322314,0.99173553719,0.917355371901,0.96694214876,0.966666666667,0.958333333333,0.941666666667,0.983333333333,0.941666666667,0.95
6,0.933884297521,0.97520661157,0.925619834711,0.933884297521,0.942148760331,0.942148760331,0.942148760331,0.917355371901,0.933884297521,0.942148760331,0.933884297521,0.95041322314,0.917355371901,0.917355371901,0.941666666667,0.908333333333,0.941666666667,0.95,0.891666666667,0.9
7,0.933884297521,0.97520661157,0.925619834711,0.925619834711,0.933884297521,0.933884297521,0.933884297521,0.909090909091,0.925619834711,0.933884297521,0.917355371901,0.925619834711,0.917355371901,0.909090909091,0.925,0.908333333333,0.941666666667,0.95,0.875,0.875
8,0.900826446281,0.942148760331,0.876033057851,0.884297520661,0.884297520661,0.892561983471,0.892561983471,0.892561983471,0.892561983471,0.892561983471,0.900826446281,0.909090909091,0.900826446281,0.867768595041,0.9,0.891666666667,0.9,0.916666666667,0.833333333333,0.833333333333
9,0.851239669421,0.884297520661,0.785123966942,0.826446280992,0.785123966942,0.842975206612,0.842975206612,0.842975206612,0.809917355372,0.818181818182,0.842975206612,0.884297520661,0.867768595041,0.842975206612,0.841666666667,0.825,0.858333333333,0.866666666667,0.8,0.791666666667
10,0.826446280992,0.851239669421,0.760330578512,0.801652892562,0.768595041322,0.793388429752,0.842975206612,0.826446280992,0.801652892562,0.801652892562,0.809917355372,0.851239669421,0.842975206612,0.809917355372,0.758333333333,0.783333333333,0.791666666667,0.841666666667,0.75,0.733333333333
11,0.809917355372,0.818181818182,0.702479338843,0.752066115702,0.735537190083,0.785123966942,0.809917355372,0.760330578512,0.768595041322,0.752066115702,0.768595041322,0.801652892562,0.818181818182,0.768595041322,0.75,0.708333333333,0.75,0.816666666667,0.708333333333,0.716666666667
12,0.776859504132,0.785123966942,0.677685950413,0.727272727273,0.710743801653,0.776859504132,0.793388429752,0.727272727273,0.743801652893,0.727272727273,0.752066115702,0.768595041322,0.809917355372,0.743801652893,0.733333333333,0.7,0.741666666667,0.783333333333,0.708333333333,0.691666666667
13,0.760330578512,0.760330578512,0.644628099174,0.694214876033,0.685950413223,0.735537190083,0.760330578512,0.669421487603,0.727272727273,0.694214876033,0.719008264463,0.727272727273,0.793388429752,0.727272727273,0.725,0.666666666667,0.716666666667,0.75,0.683333333333,0.675
14,0.752066115702,0.743801652893,0.644628099174,0.685950413223,0.694214876033,0.727272727273,0.752066115702,0.661157024793,0.727272727273,0.694214876033,0.694214876033,0.735537190083,0.776859504132,0.710743801653,0.716666666667,0.658333333333,0.7,0.741666666667,0.675,0.666666666667
15,0.743801652893,0.702479338843,0.619834710744,0.644628099174,0.669421487603,0.719008264463,0.727272727273,0.661157024793,0.694214876033,0.685950413223,0.677685950413,0.702479338843,0.752066115702,0.694214876033,0.666666666667,0.65,0.675,0.725,0.65,0.616666666667
16,0.727272727273,0.685950413223,0.611570247934,0.636363636364,0.644628099174,0.702479338843,0.710743801653,0.661157024793,0.661157024793,0.669421487603,0.652892561983,0.677685950413,0.752066115702,0.677685950413,0.658333333333,0.625,0.608333333333,0.716666666667,0.608333333333,0.616666666667
17,0.719008264463,0.661157024793,0.603305785124,0.611570247934,0.619834710744,0.710743801653,0.710743801653,0.661157024793,0.652892561983,0.669421487603,0.628099173554,0.644628099174,0.719008264463,0.677685950413,0.65,0.608333333333,0.6,0.708333333333,0.6,0.591666666667
18,0.702479338843,0.636363636364,0.586776859504,0.603305785124,0.595041322314,0.694214876033,0.694214876033,0.652892561983,0.636363636364,0.644628099174,0.628099173554,0.628099173554,0.685950413223,0.636363636364,0.641666666667,0.6,0.575,0.683333333333,0.6,0.591666666667
19,0.694214876033,0.644628099174,0.578512396694,0.586776859504,0.595041322314,0.677685950413,0.652892561983,0.652892561983,0.628099173554,0.611570247934,0.619834710744,0.611570247934,0.685950413223,0.636363636364,0.641666666667,0.591666666667,0.566666666667,0.666666666667,0.6,0.566666666667
20,0.685950413223,0.636363636364,0.561983471074,0.586776859504,0.586776859504,0.677685950413,0.628099173554,0.619834710744,0.603305785124,0.603305785124,0.586776859504,0.603305785124,0.685950413223,0.636363636364,0.641666666667,0.591666666667,0.533333333333,0.683333333333,0.583333333333,0.55
21,0.669421487603,0.611570247934,0.553719008264,0.570247933884,0.578512396694,0.661157024793,0.611570247934,0.619834710744,0.595041322314,0.603305785124,0.586776859504,0.595041322314,0.669421487603,0.628099173554,0.641666666667,0.583333333333,0.525,0.675,0.575,0.55
22,0.661157024793,0.595041322314,0.545454545455,0.561983471074,0.561983471074,0.661157024793,0.611570247934,0.611570247934,0.595041322314,0.595041322314,0.561983471074,0.578512396694,0.644628099174,0.619834710744,0.625,0.583333333333,0.525,0.675,0.558333333333,0.525
